,Signal
2016-10-14 11:12:07.250,0.0
2016-10-14 11:12:07.500,0.0
2016-10-14 11:12:07.750,0.0
2016-10-14 11:12:08.000,0.0
2016-10-14 11:12:08.250,0.0
2016-10-14 11:12:08.500,0.0
2016-10-14 11:12:08.750,0.0
2016-10-14 11:12:09.000,0.0
2016-10-14 11:12:09.250,1.0
2016-10-14 11:12:09.500,1.0
2016-10-14 11:12:09.750,1.0
2016-10-14 11:12:10.000,1.0
2016-10-14 11:12:10.250,1.0
2016-10-14 11:12:10.500,0.0
2016-10-14 11:12:10.750,0.0
2016-10-14 11:12:11.000,0.0
2016-10-14 11:12:11.250,0.0
2016-10-14 11:12:11.500,0.0
2016-10-14 11:12:11.750,0.0
2016-10-14 11:12:12.000,0.0
2016-10-14 11:12:12.250,1.0
2016-10-14 11:12:12.500,1.0
2016-10-14 11:12:12.750,1.0
2016-10-14 11:12:13.000,1.0
2016-10-14 11:12:13.250,1.0
2016-10-14 11:12:13.500,0.0
2016-10-14 11:12:13.750,0.0
2016-10-14 11:12:14.000,0.0
2016-10-14 11:12:14.250,0.0
2016-10-14 11:12:14.500,0.0
2016-10-14 11:12:14.750,0.0
2016-10-14 11:12:15.000,0.0
2016-10-14 11:12:15.250,1.0
2016-10-14 11:12:15.500,1.0
2016-10-14 11:12:15.750,1.0
2016-10-14 11:12:16.000,0.0
2016-10-14 11:12:16.250,0.0
2016-10-14 11:12:16.500,0.0
2016-10-14 11:12:16.750,1.0
2016-10-14 11:12:17.000,1.0
2016-10-14 11:12:17.250,1.0
2016-10-14 11:12:17.500,1.0
2016-10-14 11:12:17.750,1.0
2016-10-14 11:12:18.000,0.0
2016-10-14 11:12:18.250,0.0
2016-10-14 11:12:18.500,0.0
2016-10-14 11:12:18.750,0.0
2016-10-14 11:12:19.000,0.0
2016-10-14 11:12:19.250,0.0
2016-10-14 11:12:19.500,0.0
2016-10-14 11:12:19.750,0.0
2016-10-14 11:12:20.000,0.0
2016-10-14 11:12:20.250,0.0
2016-10-14 11:12:20.500,0.0
2016-10-14 11:12:20.750,1.0
2016-10-14 11:12:21.000,1.0
2016-10-14 11:12:21.250,1.0
2016-10-14 11:12:21.500,0.0
2016-10-14 11:12:21.750,1.0
2016-10-14 11:12:22.000,1.0
2016-10-14 11:12:22.250,0.0
2016-10-14 11:12:22.500,0.0
2016-10-14 11:12:22.750,0.0
2016-10-14 11:12:23.000,0.0
2016-10-14 11:12:23.250,0.0
2016-10-14 11:12:23.500,0.0
2016-10-14 11:12:23.750,0.0
2016-10-14 11:12:24.000,0.0
2016-10-14 11:12:24.250,0.0
2016-10-14 11:12:24.500,1.0
2016-10-14 11:12:24.750,0.0
2016-10-14 11:12:25.000,0.0
2016-10-14 11:12:25.250,0.0
2016-10-14 11:12:25.500,0.0
2016-10-14 11:12:25.750,0.0
2016-10-14 11:12:26.000,0.0
2016-10-14 11:12:26.250,0.0
2016-10-14 11:12:26.500,0.0
2016-10-14 11:12:26.750,0.0
2016-10-14 11:12:27.000,0.0
2016-10-14 11:12:27.250,0.0
2016-10-14 11:12:27.500,0.0
2016-10-14 11:12:27.750,0.0
2016-10-14 11:12:28.000,1.0
2016-10-14 11:12:28.250,1.0
2016-10-14 11:12:28.500,1.0
2016-10-14 11:12:28.750,0.0
2016-10-14 11:12:29.000,0.0
2016-10-14 11:12:29.250,0.0
2016-10-14 11:12:29.500,0.0
2016-10-14 11:12:29.750,0.0
2016-10-14 11:12:30.000,0.0
2016-10-14 11:12:30.250,0.0
2016-10-14 11:12:30.500,0.0
2016-10-14 11:12:30.750,0.0
2016-10-14 11:12:31.000,0.0
2016-10-14 11:12:31.250,0.0
2016-10-14 11:12:31.500,0.0
2016-10-14 11:12:31.750,0.0
2016-10-14 11:12:32.000,0.0
2016-10-14 11:12:32.250,0.0
2016-10-14 11:12:32.500,0.0
2016-10-14 11:12:32.750,0.0
2016-10-14 11:12:33.000,0.0
2016-10-14 11:12:33.250,0.0
2016-10-14 11:12:33.500,0.0
2016-10-14 11:12:33.750,0.0
2016-10-14 11:12:34.000,0.0
2016-10-14 11:12:34.250,0.0
2016-10-14 11:12:34.500,0.0
2016-10-14 11:12:34.750,0.0
2016-10-14 11:12:35.000,0.0
2016-10-14 11:12:35.250,0.0
2016-10-14 11:12:35.500,0.0
2016-10-14 11:12:35.750,1.0
2016-10-14 11:12:36.000,1.0
2016-10-14 11:12:36.250,1.0
2016-10-14 11:12:36.500,0.0
2016-10-14 11:12:36.750,0.0
2016-10-14 11:12:37.000,1.0
2016-10-14 11:12:37.250,1.0
2016-10-14 11:12:37.500,1.0
2016-10-14 11:12:37.750,1.0
2016-10-14 11:12:38.000,1.0
2016-10-14 11:12:38.250,0.0
2016-10-14 11:12:38.500,0.0
2016-10-14 11:12:38.750,0.0
2016-10-14 11:12:39.000,1.0
2016-10-14 11:12:39.250,1.0
2016-10-14 11:12:39.500,1.0
2016-10-14 11:12:39.750,1.0
2016-10-14 11:12:40.000,1.0
2016-10-14 11:12:40.250,1.0
2016-10-14 11:12:40.500,1.0
2016-10-14 11:12:40.750,1.0
2016-10-14 11:12:41.000,1.0
2016-10-14 11:12:41.250,1.0
2016-10-14 11:12:41.500,1.0
2016-10-14 11:12:41.750,1.0
2016-10-14 11:12:42.000,0.0
2016-10-14 11:12:42.250,0.0
2016-10-14 11:12:42.500,0.0
2016-10-14 11:12:42.750,0.0
2016-10-14 11:12:43.000,0.0
2016-10-14 11:12:43.250,0.0
2016-10-14 11:12:43.500,0.0
2016-10-14 11:12:43.750,0.0
2016-10-14 11:12:44.000,0.0
2016-10-14 11:12:44.250,0.0
2016-10-14 11:12:44.500,0.0
2016-10-14 11:12:44.750,1.0
2016-10-14 11:12:45.000,1.0
2016-10-14 11:12:45.250,1.0
2016-10-14 11:12:45.500,1.0
2016-10-14 11:12:45.750,0.0
2016-10-14 11:12:46.000,0.0
2016-10-14 11:12:46.250,0.0
2016-10-14 11:12:46.500,0.0
2016-10-14 11:12:46.750,0.0
2016-10-14 11:12:47.000,1.0
2016-10-14 11:12:47.250,1.0
2016-10-14 11:12:47.500,1.0
2016-10-14 11:12:47.750,0.0
2016-10-14 11:12:48.000,0.0
2016-10-14 11:12:48.250,0.0
2016-10-14 11:12:48.500,0.0
2016-10-14 11:12:48.750,0.0
2016-10-14 11:12:49.000,0.0
2016-10-14 11:12:49.250,1.0
2016-10-14 11:12:49.500,1.0
2016-10-14 11:12:49.750,1.0
2016-10-14 11:12:50.000,1.0
2016-10-14 11:12:50.250,0.0
2016-10-14 11:12:50.500,0.0
2016-10-14 11:12:50.750,1.0
2016-10-14 11:12:51.000,1.0
2016-10-14 11:12:51.250,1.0
2016-10-14 11:12:51.500,1.0
2016-10-14 11:12:51.750,1.0
2016-10-14 11:12:52.000,0.0
2016-10-14 11:12:52.250,0.0
2016-10-14 11:12:52.500,0.0
2016-10-14 11:12:52.750,0.0
2016-10-14 11:12:53.000,0.0
2016-10-14 11:12:53.250,0.0
2016-10-14 11:12:53.500,0.0
2016-10-14 11:12:53.750,0.0
2016-10-14 11:12:54.000,0.0
2016-10-14 11:12:54.250,0.0
2016-10-14 11:12:54.500,0.0
